TEST_DATE,PRED_DEC_RATIO,FORECAST_OIL
2026-05-18,0.010746909601939357,300.82017856243493
2026-05-19,0.009742745186281905,297.9035950511941
2026-05-20,0.012265756806106783,294.2719002769714
2026-05-21,0.021407400434984118,288.0392542667019
2026-05-22,0.026184750033742866,280.59490790907176
2026-05-23,0.025396926352021617,273.55839086175916
2026-05-24,0.026309098953707206,266.455165530479
2026-05-25,0.025622722703687397,259.71458351841267
2026-05-26,0.024687119710590448,253.38147327152717
2026-05-27,0.022075892592359637,247.84914134312538
2026-05-28,0.024685541604068873,241.80575013385857
2026-05-29,0.02640550992873621,235.50430852363556
2026-05-30,0.027268068377552312,229.1693248449357
2026-05-31,0.027858434307910816,222.87313446326218
2026-06-01,0.028456355196027936,216.62036483543076
2026-06-02,0.028673431031902338,210.49731960908957
2026-06-03,0.02864136349262366,204.55390934067063
2026-06-04,0.027321463196383584,199.04085256041452
2026-06-05,0.026163850324021198,193.9007136175377
2026-06-06,0.026906508367364208,188.75308534844567
2026-06-07,0.027067673263623793,183.7125046508731
2026-06-08,0.02784055688853557,178.6683875311146
2026-06-09,0.029325698616721706,173.5048938198499
2026-06-10,0.030733843210512604,168.25353222848784
2026-06-11,0.030952809070714096,163.12538743626615
2026-06-12,0.03179426687931704,158.02051814660513
2026-06-13,0.03372531343877897,152.78009086303675
2026-06-14,0.03589879858708768,147.39274728802394
2026-06-15,0.03515535425283891,142.30112629594103
2026-06-16,0.040176856604295666,136.69724137674277
2026-06-17,0.04452442720932722,130.74438221756265
2026-06-18,0.0535549058381061,123.92657217778948
2026-06-19,0.05494950838246708,117.30058254969292
2026-06-20,0.056066837138577255,110.90487865101062
2026-06-21,0.056648895177165086,104.79687886850678
2026-06-22,0.05614238551594183,99.07544237700105
2026-06-23,0.05614238551594183,93.66637048909585
2026-06-24,0.05627207408163171,88.54112599131376
2026-06-25,0.05765890545311405,83.58033282190604
2026-06-26,0.05834989824276833,78.84298482540855
2026-06-27,0.058843618575805515,74.33743958121659
2026-06-28,0.05947689136574828,70.04499567509747
2026-06-29,0.06025056983991646,65.94936568936905
2026-06-30,0.060234477177637066,62.094212235903775
2026-07-01,0.060234477177637066,58.46441664592074
2026-07-02,0.060234477177637066,55.046805340923974
2026-07-03,0.06115665553998808,51.78120129270438
2026-07-04,0.06115665553998808,48.70932637615194
2026-07-05,0.061234178890123246,45.81613582031133
2026-07-06,0.061187621058632256,43.09679871089829
2026-07-07,0.06122057502839011,40.5375272347256
2026-07-08,0.06122057502839011,38.130236199900516
2026-07-09,0.06122211532295569,35.86584511645364
2026-07-10,0.062144836769504,33.70481199562673
2026-07-11,0.06384800575314696,31.620087866352748
2026-07-12,0.06384800575314696,29.664308965900723
2026-07-13,0.06379092905987883,27.83108818119456
2026-07-14,0.06388733469183298,26.10864122875253
2026-07-15,0.06399736303312355,24.49010058302289
2026-07-16,0.06399736303312355,22.971897361938467
2026-07-17,0.06399736303312355,21.547811394995048
2026-07-18,0.06399736303312355,20.21200811577621
2026-07-19,0.06399736303312355,18.95901465738151
2026-07-20,0.06399736303312355,17.783697429759467
2026-07-21,0.06399736303312355,16.68124108707837
2026-07-22,0.06769767841355459,15.589336478457346
2026-07-23,0.06774997541417153,14.568142819686809
2026-07-24,0.06774997541417153,13.613843379932858
2026-07-25,0.06867356172318141,12.71031170000241
2026-07-26,0.06961877572698022,11.855534834424516
2026-07-27,0.07091786710222929,11.043885938163415
2026-07-28,0.07098907873015808,10.287071239670405
2026-07-29,0.07098907873015808,9.582119489695888
2026-07-30,0.07098907873015808,8.92547662747124
2026-07-31,0.07098907873015808,8.313832144673421
2026-08-01,0.07098907873015808,7.74410239527881
2026-08-02,0.07098907873015808,7.213415049158267
2026-08-03,0.07098907873015808,6.719094611035242
2026-08-04,0.0710916073051226,6.258007274338272
2026-08-05,0.0710916073051226,5.828561333449769
2026-08-06,0.0710916073051226,5.428585447174635
2026-08-07,0.0710916073051226,5.056057279204095
2026-08-08,0.0710916073051226,4.7090932728889126
2026-08-09,0.0710916073051226,4.385939127702762
2026-08-10,0.0710916073051226,4.084960929243384
2026-08-11,0.0710916073051226,3.804636887923506
2026-08-12,0.0710916073051226,3.5435496445811463
2026-08-13,0.0710916073051226,3.300379104105355
2026-08-14,0.0710916073051226,3.073895760843158
2026-08-15,0.0710916073051226,2.8629544820399855
2026-08-16,0.0710916073051226,2.6664887178817573
2026-08-17,0.0710916073051226,2.483505108863758
2026-08-18,0.0710916073051226,2.3130784632203687
2026-08-19,0.0710916073051226,2.154347079020813
2026-08-20,0.0710916073051226,2.006508387278749
2026-08-21,0.0710916073051226,1.8688148940466383
2026-08-22,0.0710916073051226,1.7405704009775296
2026-08-23,0.0710916073051226,1.6211264852448632
2026-08-24,0.0710916073051226,1.509879221022265
2026-08-25,0.0710916073051226,1.4062661259466491
2026-08-26,0.0710916073051226,1.309763317125506
2026-08-27,0.0710916073051226,1.2198828623087312
2026-08-28,0.0710916073051226,1.1361703128321363
2026-08-29,0.0710916073051226,1.0582024058588457
2026-08-30,0.0710916073051226,1.0
